2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,cityName,cityName-en,distance-Wuhan,distance-Xiaogan,distance-Huanggang,distance-Suizhou,distance-Jingzhou
,,,1,2,2,2,3,5,6,7,8,9,9,10,10,11,13,14,15,15,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,七台河,Qitaihe,2222.30203244861,2121.27178761925,2198.65346593054,2170.1639416399,2357.9791497437
2,5,5,7,7,8,8,8,8,8,8,11,11,11,11,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,万宁,Wanning,1357.18327248667,1495.7021032281,1366.40549098636,1462.15874738661,1291.07880836696
2,5,8,10,14,14,14,14,15,17,17,18,22,30,32,34,37,40,43,46,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,三亚,Sanya,1441.94054798897,1576.35623196538,1453.76031513833,1540.67566672654,1365.49082191075
,,1,4,4,8,10,10,10,11,11,11,11,11,12,12,12,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,三明,Sanming,574.957615661197,726.162618220139,538.342555799844,734.656163791693,695.562160886458
1,1,2,3,3,4,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,三门峡,Sanmenxia,553.811091644438,404.103232945299,590.520093548545,394.273073151463,500.816105544608
20,33,40,53,66,80,101,128,153,177,193,208,233,254,269,281,292,295,302,306,313,318,326,328,331,333,333,333,334,334,335,335,335,336,337,337,337,337,337,上海,Shanghai,689.944618192855,722.658411309624,638.184007791602,771.631057202536,889.522003605615
,2,6,6,7,9,11,12,16,19,32,50,69,78,86,86,92,98,103,111,116,119,122,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,上饶,Shangrao,421.379698167911,546.823033187774,371.613303763299,570.365441900854,592.971162757816
,,,,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,东方,Dongfang,1389.20933543009,1516.22107636292,1405.54009120005,1477.44816629493,1297.3141739039
,1,2,2,2,7,7,16,21,27,31,37,44,47,53,53,56,58,60,62,67,70,73,81,89,89,91,91,92,93,93,94,96,97,97,97,98,99,99,东莞,Dongguan,830.655872386321,984.140779509473,827.440189278482,962.296205233778,821.806605875955
1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,中卫,Zhongwei,1144.46766999975,1011.15719342588,1189.06094687878,988.376837619528,1028.96018711858
2,2,2,4,6,12,16,18,18,21,25,31,35,44,46,46,46,51,56,58,62,64,64,65,65,66,66,66,66,66,66,66,66,66,66,66,66,66,66,中山,Zhongshan,891.196991620043,1042.91653126415,889.960712615452,1019.18520647932,872.994582556018
,,1,2,2,2,2,2,2,2,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,临夏回族自治州,Linxiahuizuzizhizhou,1178.23430518267,1070.75179169004,1228.8422937207,1035.63634264487,1025.50281033935
,,,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,临汾,Linfen,669.802453405738,512.29184868301,699.784495665089,514.095699387404,641.171182317005
2,3,7,7,8,15,16,20,23,24,24,27,30,32,35,35,40,40,42,44,45,45,47,47,47,47,48,48,49,49,49,49,49,49,49,49,49,49,49,临沂,Linyi,628.837545661071,539.140737247462,606.309836692445,591.870571759296,775.430662060498
,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,临沧,Lincang,1586.84859394105,1623.326353189,1632.62867195459,1568.61356341906,1399.06747869325
1,1,1,1,1,1,1,1,3,4,4,4,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,临高,Lingao,1263.79118801841,1395.73091075614,1277.51797066887,1359.16252828332,1182.78589140098
,,,1,4,5,5,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,丹东,Dandong,1402.79791696695,1309.19380918491,1377.54147581147,1359.96577995292,1546.43353136041
,,3,3,5,6,6,7,6,14,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,丽水,Lishui,590.362441421838,694.766468142862,537.229092575752,726.978478747413,773.781795435649
,1,2,2,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,丽江,Lijiang,1431.49188010577,1438.25126820785,1482.08939775375,1383.41001548832,1233.71983791922
,,,,,,,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,乌兰察布,Wulanchabu,1170.27901628613,1012.58474026511,1184.8010127232,1032.76489799035,1188.67262745477
,,,,,,,,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,乌海,Wuhai,1222.38836067094,1071.64401871355,1258.84650764818,1062.72574829768,1147.46142958351
2,3,3,4,5,6,7,8,8,8,10,12,12,15,18,18,19,20,20,20,20,21,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,乌鲁木齐,Wulumuqi,2766.64385770766,2640.25231831751,2813.82027489608,2614.23233946996,2628.87171040573
,,,,,,,,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,乐东黎族自治,Ledonglizuzizhi,1416.70485230718,1547.50686813267,1430.80132759843,1510.2434917852,1332.42724740442
,,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,乐山,Leshan,1021.94062269321,1004.6871508327,1075.25266114839,950.886298168109,822.3876553076
1,2,2,4,9,16,31,42,43,55,64,78,86,92,95,95,97,100,101,101,105,109,114,115,117,117,118,118,118,118,118,118,118,118,118,118,118,118,118,九江,Jiujiang,183.454683391494,314.446263308328,133.401046664704,333.33921920502,366.180249332452
,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,五家渠,Wujiaqu,2801.76088912752,2673.25259052013,2848.35011393378,2648.33732657786,2667.11051652742
1,4,6,6,8,15,20,20,25,30,39,48,58,66,72,72,81,87,92,92,97,100,106,107,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,亳州,Bozhou,396.871615360258,278.7313721454,390.208353117509,328.501590376339,515.668179081745
2,10,11,12,27,32,55,90,97,140,169,188,225,265,307,307,359,379,416,438,460,480,500,514,523,531,544,562,567,568,571,571,573,575,575,575,575,575,575,仙桃,Xiantao,92.1212807875306,187.04481915365,143.432124841813,157.86817296041,110.266851445973
,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,伊春,Yichun,2281.92521140057,2167.11609879808,2264.00868111617,2212.65516442342,2400.43498101717
,,1,1,2,4,4,5,5,5,6,7,9,9,9,9,9,10,10,10,12,14,14,16,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,伊犁哈萨克自治州,Yilihasakezizhizhou,3255.91347141227,3134.74994199745,3304.45920833345,3106.275964875,3109.81597553008
6,9,10,14,18,18,25,32,38,39,43,46,49,50,57,59,64,67,70,70,78,81,82,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,佛山,Foshan,836.220894367858,986.069761255398,837.279212419214,960.860664280763,811.509640874535
,,,1,1,5,5,8,11,11,11,11,11,12,13,13,13,13,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,佳木斯,Jiamusi,2276.59160762862,2169.56287149362,2255.30659595684,2217.10995103386,2405.20754998823
,,,,,,,,,,,,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,保亭黎族苗族自治,Baotinglizumiaozuzizhi,1401.796446798,1536.35543580331,1413.59684273997,1500.78960264142,1325.88073408456
,1,3,3,3,6,7,11,11,13,13,13,17,17,18,18,18,21,26,30,31,31,31,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,保定,Baoding,930.26511713371,781.950842971081,934.629121269392,813.959826319944,990.263994235689
,,,2,4,4,5,6,7,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,保山,Baoshan,1604.64597050062,1624.85488208091,1653.20780601704,1569.84146713209,1410.47657202726
1,5,22,23,29,32,42,49,70,88,99,112,138,164,176,176,192,205,220,228,231,240,243,252,261,262,266,268,269,270,273,274,274,274,274,274,274,274,274,信阳,Xinyang,179.846008535982,28.2870785409133,201.910975297784,80.4918267798119,265.286884711671
,3,3,4,5,5,5,5,6,6,7,8,8,10,11,11,11,11,11,11,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,儋州,Danzhou,1309.15851383033,1440.06890212752,1323.40623551065,1402.9901238682,1225.65958316166
,,,,1,1,1,1,1,1,1,3,4,4,3,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,公主岭,Gongzhuling,1734.30059641683,1620.36710848578,1716.60620595425,1666.48302140825,1854.45087859796
2,2,3,3,4,6,8,9,13,13,20,30,34,36,41,41,51,54,57,59,59,60,61,63,65,68,68,69,69,69,69,69,69,69,69,69,69,69,69,六安,Luan,247.439784029311,245.155168073517,210.589685027321,294.804663869816,434.12391153312
,,,1,1,1,1,4,8,8,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,六盘水,Liupanshui,1025.67741470609,1062.80526051651,1072.24084309386,1008.30399634606,837.178431984423
1,1,4,8,11,14,14,15,20,23,24,26,27,27,27,32,33,33,35,35,35,35,35,35,35,36,36,36,36,36,36,36,36,36,36,36,36,36,36,兰州,Lanzhou,1158.63086981407,1044.61707647178,1208.08191617493,1012.09615143975,1013.86159356248
,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,兴安,Xingan,652.59614738554,768.889333320952,677.425298092665,728.207316317292,547.04643256573
,1,1,1,3,4,4,6,10,11,12,15,15,16,17,17,17,17,17,18,20,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,内江,Neijiang,899.59626654805,887.368494808923,952.679501593545,833.123803779324,699.884523760988
,,,1,2,2,2,3,5,5,6,6,7,7,7,7,9,9,10,10,10,10,10,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,凉山彝族自治州,Liangshanyizuzizhizhou,1206.79630244868,1209.62370023128,1258.08620695665,1154.85154606008,1008.13192033147
